feature_name,importance,absolute_importance,direction,odds_ratio,feature_group,is_geo_feature,is_temporal_feature,is_behavioral_feature,is_risk_feature
merchant_city_Strasburg,17.611725908441777,17.611725908441777,positive,44532325.91357953,geographic,True,False,False,False
merchant_city_Flagstaff,15.531941919801275,15.531941919801275,positive,5564634.820596522,geographic,True,False,False,False
merchant_city_Fall River Mills,15.338441063222986,15.338441063222986,positive,4585643.777130001,geographic,True,False,False,False
merchant_city_Cary,11.45107205411177,11.45107205411177,positive,94002.06735153846,geographic,True,False,False,False
merchant_city_Citrus Heights,9.979703151562282,9.979703151562282,positive,21583.90445032014,geographic,True,False,False,False
merchant_city_Port au Prince,9.64626173462489,9.64626173462489,positive,15463.871861755579,geographic,True,False,False,False
merchant_state_Haiti,9.64626173462489,9.64626173462489,positive,15463.871861755579,geographic,True,False,False,False
merchant_city_Jackson,9.400430721391153,9.400430721391153,positive,12093.588575866639,geographic,True,False,False,False
merchant_city_Mingo Junction,9.39619852481567,9.39619852481567,positive,12042.514286162235,geographic,True,False,False,False
merchant_city_Doylestown,9.262398842205444,9.262398842205444,positive,10534.373354351865,geographic,True,False,False,False
merchant_city_Rio Rancho,9.244439978091906,9.244439978091906,positive,10346.876628146041,geographic,True,False,False,False
merchant_city_Sugarcreek,8.722965245802575,8.722965245802575,positive,6142.365735061404,geographic,True,False,False,False
merchant_city_Ogden,8.541382556552355,8.541382556552355,positive,5122.421505661722,geographic,True,False,False,False
merchant_city_Knoxville,8.352491733963383,8.352491733963383,positive,4240.734371115956,geographic,True,False,False,False
merchant_city_Black Diamond,8.316439805129487,8.316439805129487,positive,4090.5708242489723,geographic,True,False,False,False
merchant_city_Harrison,8.162098403963109,8.162098403963109,positive,3505.5349195674626,geographic,True,False,False,False
mcc_4784,-7.976578263414038,7.976578263414038,negative,0.000343412481473053,risk,False,False,False,True
mcc_description_Tolls and Bridge Fees,-7.976578263414038,7.976578263414038,negative,0.000343412481473053,risk,False,False,False,True
merchant_city_Pompano Beach,7.857858660738293,7.857858660738293,positive,2585.976988339569,geographic,True,False,False,False
merchant_city_Kirkland,7.479094678693152,7.479094678693152,positive,1770.6370546479195,geographic,True,False,False,False
merchant_city_Camas,7.397368710019012,7.397368710019012,positive,1631.685339114071,geographic,True,False,False,False
merchant_city_Bellaire,7.118839813515571,7.118839813515571,positive,1235.0167522136812,geographic,True,False,False,False
merchant_city_infrequent_sklearn,6.9855390216707995,6.9855390216707995,positive,1080.888883269424,geographic,True,False,False,False
merchant_city_Sacramento,6.95740542967805,6.95740542967805,positive,1050.9033742419672,geographic,True,False,False,False
merchant_city_Gonzales,6.760190359826703,6.760190359826703,positive,862.8064238388502,geographic,True,False,False,False
merchant_city_Minneapolis,6.708774710097784,6.708774710097784,positive,819.5658182564006,geographic,True,False,False,False
merchant_state_IA,6.210039918024203,6.210039918024203,positive,497.721118933938,geographic,True,False,False,False
use_chip_Online Transaction,5.981051816968263,5.981051816968263,positive,395.8565178627814,risk,False,False,False,True
merchant_city_ONLINE,5.918731183186688,5.918731183186688,positive,371.9394912774807,geographic,True,False,False,False
merchant_city_Reno,5.522138758388027,5.522138758388027,positive,250.16951757789656,geographic,True,False,False,False
mcc_4900,-5.441897579634392,5.441897579634392,negative,0.004331256563545138,risk,False,False,False,True
"mcc_description_Utilities - Electric, Gas, Water, Sanitary",-5.441897579634392,5.441897579634392,negative,0.004331256563545138,risk,False,False,False,True
merchant_state_CO,5.380331506490086,5.380331506490086,positive,217.09423164406198,geographic,True,False,False,False
merchant_city_Richardson,5.238012697556306,5.238012697556306,positive,188.29553016754238,geographic,True,False,False,False
merchant_state_SC,5.159942387298932,5.159942387298932,positive,174.15442180943307,geographic,True,False,False,False
mcc_description_Music Stores - Musical Instruments,5.010502704416792,5.010502704416792,positive,149.98011286652394,risk,False,False,False,True
mcc_5733,5.010502704416792,5.010502704416792,positive,149.98011286652394,risk,False,False,False,True
use_chip_Swipe Transaction,-4.932810097285309,4.932810097285309,negative,0.007206224609987357,risk,False,False,False,True
merchant_state_infrequent_sklearn,4.825339515940144,4.825339515940144,positive,124.62877465655842,geographic,True,False,False,False
merchant_city_Scottsdale,4.66350777788431,4.66350777788431,positive,106.00728072988888,geographic,True,False,False,False
mcc_6300,-4.661068374855017,4.661068374855017,negative,0.009456354072018502,risk,False,False,False,True
"mcc_description_Insurance Sales, Underwriting",-4.661068374855017,4.661068374855017,negative,0.009456354072018502,risk,False,False,False,True
merchant_city_Allen,4.342003223245258,4.342003223245258,positive,76.86135567697967,geographic,True,False,False,False
mcc_description_Cleaning and Maintenance Services,-4.310446635998912,4.310446635998912,negative,0.013427551027091084,risk,False,False,False,True
mcc_7349,-4.310446635998912,4.310446635998912,negative,0.013427551027091084,risk,False,False,False,True
mcc_description_Antique Shops,3.972362937716405,3.972362937716405,positive,53.10987802145225,risk,False,False,False,True
