trial_number,state,validation_pr_auc,model_name,model_params,selected_threshold,precision,recall,alert_rate,business_cost,duration_seconds
0,COMPLETE,0.23840081315060868,logistic_regression,"{""logistic_regression__C"": 0.0745934328572655, ""logistic_regression__solver"": ""lbfgs"", ""model_name"": ""logistic_regression""}",0.8,0.06378378378378378,0.7564102564102564,0.0183969769291965,1341.0,20.128874
1,COMPLETE,0.08488204855452822,random_forest,"{""model_name"": ""random_forest"", ""random_forest__max_depth"": 8, ""random_forest__max_features"": ""log2"", ""random_forest__min_samples_leaf"": 6, ""random_forest__n_estimators"": 350}",0.57,0.07425742574257425,0.38461538461538464,0.008035003977724742,1574.0,34.790527
2,COMPLETE,0.33302146714402026,hist_gradient_boosting,"{""hist_gradient_boosting__l2_regularization"": 0.0011526449540315614, ""hist_gradient_boosting__learning_rate"": 0.08341106432362087, ""hist_gradient_boosting__max_iter"": 100, ""hist_gradient_boosting__max_leaf_nodes"": 62, ""hist_gradient_boosting__min_samples_leaf"": 85, ""model_name"": ""hist_gradient_boosting""}",0.51,0.14363143631436315,0.6794871794871795,0.0073389021479713604,941.0,22.260298
3,COMPLETE,0.41142232649788796,lightgbm,"{""lightgbm__colsample_bytree"": 0.8447411578889518, ""lightgbm__learning_rate"": 0.048164145309070844, ""lightgbm__max_depth"": 6, ""lightgbm__min_child_samples"": 49, ""lightgbm__n_estimators"": 200, ""lightgbm__num_leaves"": 35, ""lightgbm__reg_alpha"": 1.8007140198129195e-07, ""lightgbm__reg_lambda"": 0.018051899059704852, ""lightgbm__subsample"": 0.7164916560792167, ""model_name"": ""lightgbm""}",0.56,0.14511873350923482,0.7051282051282052,0.007537788385043755,899.0,29.049471
4,COMPLETE,0.4640216678268828,xgboost,"{""model_name"": ""xgboost"", ""xgboost__colsample_bytree"": 0.8056937753654446, ""xgboost__learning_rate"": 0.10508421338691762, ""xgboost__max_depth"": 6, ""xgboost__min_child_weight"": 5.898602410432693, ""xgboost__n_estimators"": 250, ""xgboost__reg_alpha"": 2.6185068507773707e-08, ""xgboost__reg_lambda"": 0.4102689328356389, ""xgboost__scale_pos_weight"": 669.39, ""xgboost__subsample"": 0.6798695128633439}",0.09,0.1918819188191882,0.6666666666666666,0.005389817024661893,869.0,35.472343
5,COMPLETE,0.2710524127783954,logistic_regression,"{""logistic_regression__C"": 0.15876781526924, ""logistic_regression__solver"": ""liblinear"", ""model_name"": ""logistic_regression""}",0.8,0.06599552572706935,0.7564102564102564,0.017780429594272076,1310.0,24.141334
6,COMPLETE,0.18721933768502502,random_forest,"{""model_name"": ""random_forest"", ""random_forest__max_depth"": 16, ""random_forest__max_features"": ""sqrt"", ""random_forest__min_samples_leaf"": 7, ""random_forest__n_estimators"": 300}",0.72,0.09359605911330049,0.48717948717948717,0.008074781225139221,1368.0,41.481371
7,COMPLETE,0.37389366274722396,hist_gradient_boosting,"{""hist_gradient_boosting__l2_regularization"": 1.3921548533046495, ""hist_gradient_boosting__learning_rate"": 0.011450964268326641, ""hist_gradient_boosting__max_iter"": 200, ""hist_gradient_boosting__max_leaf_nodes"": 34, ""hist_gradient_boosting__min_samples_leaf"": 34, ""model_name"": ""hist_gradient_boosting""}",0.72,0.10714285714285714,0.7307692307692307,0.010580747812251393,1000.0,40.135397
8,COMPLETE,0.17610885129648562,xgboost,"{""model_name"": ""xgboost"", ""xgboost__colsample_bytree"": 0.602208846849441, ""xgboost__learning_rate"": 0.10109125982108307, ""xgboost__max_depth"": 10, ""xgboost__min_child_weight"": 11.50640824725017, ""xgboost__n_estimators"": 150, ""xgboost__reg_alpha"": 0.022999378190815954, ""xgboost__reg_lambda"": 1.3660975007361194, ""xgboost__scale_pos_weight"": 1.0, ""xgboost__subsample"": 0.679486272613669}",0.07,0.21428571428571427,0.3076923076923077,0.0022275258552108194,1438.0,26.313368
9,COMPLETE,0.09701781393070098,random_forest,"{""model_name"": ""random_forest"", ""random_forest__max_depth"": 12, ""random_forest__max_features"": ""log2"", ""random_forest__min_samples_leaf"": 23, ""random_forest__n_estimators"": 200}",0.61,0.11794871794871795,0.2948717948717949,0.0038782816229116944,1547.0,92.075677
10,COMPLETE,0.5861647807076192,xgboost,"{""model_name"": ""xgboost"", ""xgboost__colsample_bytree"": 0.8731715765916871, ""xgboost__learning_rate"": 0.16328176997790186, ""xgboost__max_depth"": 4, ""xgboost__min_child_weight"": 2.9517375842509077, ""xgboost__n_estimators"": 350, ""xgboost__reg_alpha"": 1.3852673067031234e-08, ""xgboost__reg_lambda"": 0.028769588911713648, ""xgboost__scale_pos_weight"": 669.39, ""xgboost__subsample"": 0.8361015777940174}",0.1,0.23333333333333334,0.717948717948718,0.00477326968973747,734.0,76.844789
11,COMPLETE,0.5177867135631185,xgboost,"{""model_name"": ""xgboost"", ""xgboost__colsample_bytree"": 0.8478135772534396, ""xgboost__learning_rate"": 0.14408517263642748, ""xgboost__max_depth"": 4, ""xgboost__min_child_weight"": 3.804688504660087, ""xgboost__n_estimators"": 300, ""xgboost__reg_alpha"": 1.0935344587290933e-08, ""xgboost__reg_lambda"": 0.0726839433156156, ""xgboost__scale_pos_weight"": 669.39, ""xgboost__subsample"": 0.7648499734490536}",0.22,0.21311475409836064,0.6666666666666666,0.004852824184566428,842.0,64.210394
12,COMPLETE,0.5485896773847078,xgboost,"{""model_name"": ""xgboost"", ""xgboost__colsample_bytree"": 0.8919080558960948, ""xgboost__learning_rate"": 0.16841304846143423, ""xgboost__max_depth"": 3, ""xgboost__min_child_weight"": 1.6759387656673874, ""xgboost__n_estimators"": 400, ""xgboost__reg_alpha"": 1.2235700828789996e-08, ""xgboost__reg_lambda"": 0.005449455402408675, ""xgboost__scale_pos_weight"": 669.39, ""xgboost__subsample"": 0.9087696049520284}",0.21,0.18006430868167203,0.717948717948718,0.0061853619729514715,805.0,85.027782
13,COMPLETE,0.5483998880004761,xgboost,"{""model_name"": ""xgboost"", ""xgboost__colsample_bytree"": 0.9939030380150069, ""xgboost__learning_rate"": 0.19862173003353603, ""xgboost__max_depth"": 3, ""xgboost__min_child_weight"": 1.0401499317227603, ""xgboost__n_estimators"": 500, ""xgboost__reg_alpha"": 1.1505776064320726e-08, ""xgboost__reg_lambda"": 0.0012799503072719876, ""xgboost__scale_pos_weight"": 25.872572349884347, ""xgboost__subsample"": 0.9484585963567845}",0.19,0.44761904761904764,0.6025641025641025,0.002088305489260143,833.0,41.342247
14,COMPLETE,0.45488001942962547,xgboost,"{""model_name"": ""xgboost"", ""xgboost__colsample_bytree"": 0.8742908734476668, ""xgboost__learning_rate"": 0.024144440623268988, ""xgboost__max_depth"": 5, ""xgboost__min_child_weight"": 1.7839549297820645, ""xgboost__n_estimators"": 400, ""xgboost__reg_alpha"": 3.901069568054158e-06, ""xgboost__reg_lambda"": 0.005937067852023704, ""xgboost__scale_pos_weight"": 669.39, ""xgboost__subsample"": 0.8964612764719793}",0.72,0.14138817480719795,0.7051282051282052,0.007736674622116149,909.0,35.476636
