split,score_band,records,positives,mean_score,min_score,max_score,actual_positive_rate
validation,0,9048,0,3.2675141971653498e-09,8.024019371707363e-13,1.0491752745294028e-08,0.0
validation,1,9047,2,4.624086410966442e-08,1.049657307872735e-08,1.2046144794503393e-07,0.00022106775726760252
validation,2,9047,0,5.068126857357369e-07,1.204774274335577e-07,1.2750925453431085e-06,0.0
validation,3,9047,2,3.3536904442005353e-06,1.275476654572061e-06,6.45379666083973e-06,0.00022106775726760252
validation,4,9047,4,1.4578917506898451e-05,6.453918684367399e-06,2.7855073850984857e-05,0.00044213551453520505
validation,5,9047,2,6.267526689572223e-05,2.7857077389746115e-05,0.00011745905589030688,0.00022106775726760252
validation,6,9047,1,0.0002492578721840796,0.00011748655534186838,0.0004551068116574513,0.00011053387863380126
validation,7,9047,2,0.001027360490840433,0.0004551367260150063,0.002057948253028599,0.00022106775726760252
validation,8,9047,3,0.008960102558716647,0.0020579765033597844,0.03331035945708032,0.0003316016359014038
validation,9,9047,136,0.4210080685210176,0.03332373130806174,0.9999910025508114,0.015032607494196971
test,0,9048,1,3.4027161967614887e-09,6.586169969716268e-13,1.118436324884523e-08,0.00011052166224580017
test,1,9047,11,4.982900732494034e-08,1.1185023554710455e-08,1.3200684637111425e-07,0.001215872664971814
test,2,9047,5,5.61708290529524e-07,1.3203275726230775e-07,1.391178576028252e-06,0.0005526693931690063
test,3,9047,10,3.5880542142958616e-06,1.3914031260561886e-06,6.912618033431324e-06,0.0011053387863380127
test,4,9047,24,1.5008173934761477e-05,6.913458080405851e-06,2.8374420192386843e-05,0.0026528130872112304
test,5,9047,17,6.346295334097537e-05,2.837738578479484e-05,0.00011857707295569526,0.0018790759367746214
test,6,9047,20,0.00025113664860937617,0.0001185907794053952,0.0004602631726755057,0.0022106775726760254
test,7,9047,11,0.0010535178281515054,0.0004603561515033498,0.002056139262173792,0.001215872664971814
test,8,9047,7,0.008992176046205481,0.0020562431441560796,0.03270927740452297,0.0007737371504366088
test,9,9048,3,0.4081336457781038,0.03271066716048879,0.9999985334504571,0.0003315649867374005
out_of_time,0,6032,2,3.476897761064206e-09,1.6536069692168838e-12,1.1299780526059447e-08,0.0003315649867374005
out_of_time,1,6031,3,4.914310779404214e-08,1.1301369831639607e-08,1.296239931148616e-07,0.000497429945282706
out_of_time,2,6032,4,5.637669744961347e-07,1.2966016558662874e-07,1.4281123771212566e-06,0.000663129973474801
out_of_time,3,6031,13,3.6739115723396595e-06,1.4281602084337861e-06,7.058455107587959e-06,0.002155529762891726
out_of_time,4,6032,25,1.5623977524382338e-05,7.06308827176071e-06,2.9751668285817805e-05,0.004144562334217507
out_of_time,5,6031,19,6.710854944850397e-05,2.975580880483712e-05,0.000127198736643826,0.003150389653457138
out_of_time,6,6031,14,0.00026626462342190383,0.00012721836431772154,0.0004827621178761106,0.002321339744652628
out_of_time,7,6032,14,0.0010956434311257318,0.00048278116193527725,0.002157306901421215,0.0023209549071618036
out_of_time,8,6031,7,0.010032306455408655,0.0021575518049972895,0.03776713169240192,0.001160669872326314
out_of_time,9,6032,7,0.4304297597310274,0.037791069619756104,0.999998238321963,0.0011604774535809018
