scenario_name,split,threshold,precision,recall,f1,fbeta,tp,fp,tn,fn,alerts,alert_rate,business_cost,cost_per_record,false_positive_cost,false_negative_cost
primary,validation,0.05,0.16374269005847952,0.717948717948718,0.26666666666666666,0.42813455657492355,56,286,49916,22,342,0.006801909307875895,836.0,0.016626889419252187,1.0,25.0
primary,validation,0.06,0.18006430868167203,0.717948717948718,0.2879177377892031,0.449438202247191,56,255,49947,22,311,0.0061853619729514715,805.0,0.016010342084327764,1.0,25.0
primary,validation,0.07,0.19858156028368795,0.717948717948718,0.3111111111111111,0.4713804713804714,56,226,49976,22,282,0.005608591885441528,776.0,0.01543357199681782,1.0,25.0
primary,validation,0.08,0.21132075471698114,0.717948717948718,0.32653061224489793,0.4852686308492201,56,209,49993,22,265,0.005270485282418457,759.0,0.01509546539379475,1.0,25.0
primary,validation,0.09,0.224,0.717948717948718,0.34146341463414637,0.498220640569395,56,194,50008,22,250,0.004972155926809865,744.0,0.014797136038186158,1.0,25.0
primary,validation,0.1,0.23333333333333334,0.717948717948718,0.3522012578616352,0.5072463768115942,56,184,50018,22,240,0.00477326968973747,734.0,0.014598249801113763,1.0,25.0
primary,validation,0.11,0.23706896551724138,0.7051282051282052,0.3548387096774194,0.5055147058823529,55,177,50025,23,232,0.004614160700079554,752.0,0.014956245027844072,1.0,25.0
primary,validation,0.12,0.24774774774774774,0.7051282051282052,0.36666666666666664,0.5149812734082397,55,167,50035,23,222,0.00441527446300716,742.0,0.014757358790771679,1.0,25.0
primary,validation,0.13,0.2535211267605634,0.6923076923076923,0.3711340206185567,0.5142857142857142,54,159,50043,24,213,0.004236276849642005,759.0,0.01509546539379475,1.0,25.0
primary,validation,0.14,0.2623762376237624,0.6794871794871795,0.37857142857142856,0.5155642023346303,53,149,50053,25,202,0.004017501988862371,774.0,0.015393794749403342,1.0,25.0
primary,validation,0.15,0.27040816326530615,0.6794871794871795,0.38686131386861317,0.5216535433070866,53,143,50059,25,196,0.003898170246618934,768.0,0.015274463007159905,1.0,25.0
primary,validation,0.16,0.2760416666666667,0.6794871794871795,0.3925925925925926,0.5257936507936508,53,139,50063,25,192,0.0038186157517899762,764.0,0.015194908512330947,1.0,25.0
primary,validation,0.17,0.2789473684210526,0.6794871794871795,0.39552238805970147,0.5278884462151394,53,137,50065,25,190,0.003778838504375497,762.0,0.015155131264916468,1.0,25.0
primary,validation,0.18,0.2864864864864865,0.6794871794871795,0.40304182509505704,0.5331991951710262,53,132,50070,25,185,0.0036793953858393,757.0,0.01505568814638027,1.0,25.0
primary,validation,0.19,0.29775280898876405,0.6794871794871795,0.4140625,0.5408163265306123,53,125,50077,25,178,0.0035401750198886237,750.0,0.014916467780429593,1.0,25.0
primary,validation,0.2,0.3028571428571429,0.6794871794871795,0.4189723320158103,0.5441478439425051,53,122,50080,25,175,0.003480509148766905,747.0,0.014856801909307877,1.0,25.0
primary,validation,0.21,0.3058823529411765,0.6666666666666666,0.41935483870967744,0.5394190871369294,52,118,50084,26,170,0.003381066030230708,768.0,0.015274463007159905,1.0,25.0
