scenario_name,split,threshold,precision,recall,f1,fbeta,tp,fp,tn,fn,alerts,alert_rate,business_cost,cost_per_record,false_positive_cost,false_negative_cost
fp_1_fn_10,validation,0.57,0.5340909090909091,0.6025641025641025,0.5662650602409639,0.5875,47,41,50161,31,88,0.0017501988862370723,351.0,0.00698090692124105,1.0,10.0
fp_1_fn_10,test,0.57,0.0,0.0,0.0,0.0,0,42,50183,54,42,0.0008353388094433064,582.0,0.011575409216571532,1.0,10.0
fp_1_fn_10,out_of_time,0.57,0.07142857142857142,0.03636363636363636,0.04819277108433735,0.04032258064516129,2,26,33439,53,28,0.0008353221957040572,556.0,0.01658711217183771,1.0,10.0
fp_1_fn_25,validation,0.1,0.23333333333333334,0.717948717948718,0.3522012578616352,0.5072463768115942,56,184,50018,22,240,0.00477326968973747,734.0,0.014598249801113763,1.0,25.0
fp_1_fn_25,test,0.1,0.0058823529411764705,0.018518518518518517,0.008928571428571428,0.012953367875647668,1,169,50056,53,170,0.0033811332763181447,1494.0,0.029714194793054753,1.0,25.0
fp_1_fn_25,out_of_time,0.1,0.046296296296296294,0.09090909090909091,0.06134969325153374,0.07621951219512195,5,103,33362,50,108,0.003221957040572792,1353.0,0.04036396181384248,1.0,25.0
fp_1_fn_50,validation,0.1,0.23333333333333334,0.717948717948718,0.3522012578616352,0.5072463768115942,56,184,50018,22,240,0.00477326968973747,1284.0,0.025536992840095467,1.0,50.0
fp_1_fn_50,test,0.1,0.0058823529411764705,0.018518518518518517,0.008928571428571428,0.012953367875647668,1,169,50056,53,170,0.0033811332763181447,2819.0,0.056067145329063824,1.0,50.0
fp_1_fn_50,out_of_time,0.1,0.046296296296296294,0.09090909090909091,0.06134969325153374,0.07621951219512195,5,103,33362,50,108,0.003221957040572792,2603.0,0.07765513126491647,1.0,50.0
fp_5_fn_25,validation,0.72,0.6666666666666666,0.5641025641025641,0.6111111111111112,0.582010582010582,44,22,50180,34,66,0.0013126491646778043,960.0,0.01909307875894988,5.0,25.0
fp_5_fn_25,test,0.72,0.0,0.0,0.0,0.0,0,27,50198,54,27,0.0005370035203564113,1485.0,0.029535193619602617,5.0,25.0
fp_5_fn_25,out_of_time,0.72,0.125,0.03636363636363636,0.056338028169014086,0.0423728813559322,2,14,33451,53,16,0.00047732696897374703,1395.0,0.041616945107398565,5.0,25.0
